gid,role,role_score,cluster_id,priority_score,evidence,role_detail,secondary_roles,depth,is_seed
100000000343175100,distributor,0.8229166666666667,2,0.6755826074007892,pays 31 recipients 4.00M; from 8 payers (1 seed); seed money in 75k; flags near_threshold,distributor,,0,True
100000000456947100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000000580561100,peripheral,0.6,33,0.3642442583684269,2 payers / 3 recipients; 1.49M out; no role rule met; seed money in 18k; flags near_threshold,weak_signal,,0,True
100000001415126100,peripheral,0.4,20,0.3152937507150368,seed with 0 outgoing transfers in data; 1 payer; seed money in 4k,seed_no_outgoing,,0,True
100000001429930100,peripheral,0.4,8,0.25729405579738174,seed with 0 outgoing transfers in data; 1 payer; seed money in 355,seed_no_outgoing,,0,True
100000001616816100,peripheral,0.5,5,0.5508813338635955,5 payers / 3 recipients; 181k out; no role rule met; seed money in 83k; flags near_threshold,weak_signal,,0,True
100000001732159100,coordinator,0.75,4,0.8355267028770355,pays 2 seeds back; on cycles with 2 seeds; downstream of 9 seeds; betweenness top 16%; seed money in 2.38M; flags repeat_amount,coordinator,,0,True
100000002527114100,distributor,1.0,9,0.5573064497676471,pays 111 recipients 3.29M; from 3 payers; seed money in 41k,distributor,,0,True
100000002916006100,peripheral,0.7833333333333333,20,0.08557173884224882,0 payers / 1 recipient; 32k out; no role rule met,weak_signal,,0,True
100000003016635100,distributor,1.0,2,0.6264198586814995,"pays 73 recipients 9.41M; from 8 payers; seed money in 117k; flags repeat_amount,near_threshold",distributor,,0,True
100000003200071100,peripheral,0.7833333333333333,43,0.08557173884224882,0 payers / 1 recipient; 30k out; no role rule met,weak_signal,,0,True
100000003265658100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000003349739100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000003684369100,peripheral,0.06944444444444442,8,0.5193345936139728,24 payers / 62 recipients; 8.59M out; no role rule met; seed money in 502k; flags repeat_amount,weak_signal,,0,True
100000003770083100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000003975102100,coordinator,0.75,2,0.6245675730154666,pays 2 seeds back; downstream of 7 seeds; betweenness top 22%; seed money in 26k,coordinator,,0,True
100000003977183100,peripheral,0.4666666666666667,5,0.432778828011644,2 payers / 4 recipients; 766k out; no role rule met; seed money in 76k,weak_signal,,0,True
100000004007116100,peripheral,0.5777777777777777,22,0.3383508483286754,3 payers / 4 recipients; 148k out; no role rule met; seed money in 10k,weak_signal,,0,True
100000004019124100,peripheral,0.19999999999999996,2,0.3935914093896356,seed with 0 outgoing transfers in data; 3 payers; seed money in 157k,seed_no_outgoing,,0,True
100000004021459100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000004041163100,coordinator,0.75,20,0.8089880799969491,pays 2 seeds back; on cycles with 1 seed; downstream of 14 seeds; betweenness top 14%; seed money in 50k,coordinator,,0,True
100000004174835100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000004193835100,peripheral,0.7833333333333333,2,0.5127551205710852,1 payer / 1 recipient; 5k out; no role rule met; seed money in 47k,weak_signal,,0,True
100000004269433100,peripheral,0.7833333333333333,2,0.08557173884224882,0 payers / 1 recipient; 1.37M out; no role rule met; flags repeat_amount,weak_signal,,0,True
100000004358004100,distributor,0.775,18,0.20867155706401827,pays 11 recipients 981k; from 0 payers,distributor,,0,True
100000004388983100,peripheral,0.5666666666666667,42,0.06965365889977863,0 payers / 2 recipients; 451k out; no role rule met; flags repeat_amount,weak_signal,,0,True
100000004714705100,peripheral,0.7833333333333333,20,0.08557173884224882,0 payers / 1 recipient; 37k out; no role rule met,weak_signal,,0,True
100000004723755100,peripheral,0.7833333333333333,1,0.08557173884224882,0 payers / 1 recipient; 95k out; no role rule met,weak_signal,,0,True
100000004813068100,peripheral,0.35,12,0.022574731554775903,0 payers / 3 recipients; 297k out; no role rule met,weak_signal,,0,True
100000004971871100,peripheral,0.7833333333333333,40,0.2321338421671016,1 payer / 1 recipient; 6k out; no role rule met; seed money in 3k,weak_signal,,0,True
100000005017150100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000005087431100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000005235389100,peripheral,0.5,0,0.06511941794646896,seed with 0 outgoing transfers in data; 0 payers,seed_no_outgoing,,0,True
100000005264990100,peripheral,0.5666666666666667,20,0.43611680113897416,1 payer / 2 recipients; 122k out; no role rule met; seed money in 3k,weak_signal,,0,True
100000005370580100,peripheral,0.4,8,0.25497869871484063,seed with 0 outgoing transfers in data; 1 payer; seed money in 329,seed_no_outgoing,,0,True
100000005382566100,consolidator,0.7427498927498928,20,0.7936025321834635,7 payers (6 seeds); to 1 recipient; up to 2 payers same day; seed money in 341k,consolidator,,0,True
100000005386383100,peripheral,0.8,20,0.4102040964568681,2 payers / 1 recipient; 29k out; no role rule met; seed money in 536,weak_signal,,0,True
100000005392290100,peripheral,0.7833333333333333,44,0.08557173884224882,0 payers / 1 recipient; 81k out; no role rule met,weak_signal,,0,True
