cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,dominant_roles,seed_flow_in
0,19,19,0.0,100000000456947100;100000003265658100;100000003349739100;100000003770083100;100000004021459100,"19 nodes with no transfers >= 5,000 KZT observed: data gap",,0.0
1,270,2,28496297.33,100000004299488100;100000007055802100;100000008603629100;100000008477350100;100000000661912100,possible collection cell: 6 consolidator(s) take money from 2 seeds; 28.5M KZT inside,terminal:112;transit:15;distributor:7,5106816.223315868
2,213,11,28595045.56,100000006518161100;100000004707703100;100000003265158100;100000008723830100;100000005287097100,possible collection cell: 1 consolidator(s) take money from 11 seeds; 28.6M KZT inside,terminal:107;transit:14;coordinator:7,15890060.117663192
3,202,1,49063786.62,100000001162560100;100000008743913100;100000008710791100;100000008466579100;100000008547948100,"possible payout network: distributor fans out to 36 recipients; 202 nodes, 49.1M KZT inside",terminal:99;distributor:13;transit:11,2405840.379340588
4,182,3,20012662.85,100000008165763100;100000004070318100;100000004390333100;100000007639767100;100000008304139100,possible collection cell: 8 consolidator(s) take money from 3 seeds; 20.0M KZT inside,terminal:59;coordinator:11;transit:11,5823642.002428927
5,140,5,19973849.28,100000004015047100;100000002838861100;100000005578559100;100000005704413100;100000002894076100,possible collection cell: 2 consolidator(s) take money from 5 seeds; 20.0M KZT inside,terminal:88;distributor:4;transit:4,9997911.622395817
6,120,0,4465650.0,100000002578405100;100000008493007100;100000004292885100;100000001632325100;100000008712827100,"possible payout network: distributor fans out to 116 recipients; 120 nodes, 4.5M KZT inside",terminal:110;distributor:1;transit:1,4515.9746547025625
7,119,0,28752929.91,100000000331309100;100000008324800100;100000002087788100;100000001330685100;100000008192264100,"possible payout network: distributor fans out to 99 recipients; 119 nodes, 28.8M KZT inside",terminal:54;transit:5;distributor:1,330758.7054316474
8,116,6,15630484.0,100000003946524100;100000003299365100;100000008733194100;100000001072022100;100000001527186100,"possible payout network: distributor fans out to 16 recipients; 116 nodes, 15.6M KZT inside",terminal:65;transit:4;coordinator:1,9069455.983900864
9,111,1,3281876.0,100000002527114100;100000001952325100;100000008737422100;100000004792397100;100000006030946100,"possible payout network: distributor fans out to 111 recipients; 111 nodes, 3.3M KZT inside",terminal:107;transit:2;distributor:1,3283578.6000293475
10,81,0,11363560.0,100000007998965100;100000006707582100;100000005242320100;100000002670860100;100000003054328100,"possible payout network: distributor fans out to 31 recipients; 81 nodes, 11.4M KZT inside",terminal:48;distributor:3;transit:3,275698.37919998355
11,74,1,13634870.8,100000008686313100;100000004759121100;100000000437046100;100000003854444100;100000007594394100,"possible payout network: distributor fans out to 42 recipients; 74 nodes, 13.6M KZT inside",terminal:29;consolidator:4;transit:4,1890667.1143884042
12,60,2,24019753.0,100000002193259100;100000000933075100;100000004662806100;100000000922570100;100000002679516100,"possible payout network: distributor fans out to 27 recipients; 60 nodes, 24.0M KZT inside",terminal:29;transit:5;distributor:1,3062488.4408610766
13,60,0,9592854.53,100000003115284100;100000005873152100;100000008473207100;100000003390036100;100000007908818100,"possible payout network: distributor fans out to 15 recipients; 60 nodes, 9.6M KZT inside",terminal:18;transit:4;consolidator:1,2307292.127688178
14,54,0,6689269.0,100000004351795100;100000003242289100;100000008566737100;100000003134934100;100000008221543100,"possible payout network: distributor fans out to 23 recipients; 54 nodes, 6.7M KZT inside",terminal:24;distributor:2,291403.0240697181
15,50,0,12266188.84,100000005933757100;100000001463701100;100000004159526100;100000002605308100;100000001904863100,"possible payout network: distributor fans out to 34 recipients; 50 nodes, 12.3M KZT inside",terminal:27;distributor:1,577191.8364334521
16,42,0,4121910.0,100000002939838100;100000007617808100;100000007777377100;100000004180097100;100000002293421100,"loosely linked group: 42 nodes, 0 seeds, 4.1M KZT inside",terminal:15;transit:2,1114879.9758868276
17,39,0,2090445.0,100000001697501100;100000008737958100;100000002199091100;100000008772058100;100000008557672100,"possible payout network: distributor fans out to 38 recipients; 39 nodes, 2.1M KZT inside",terminal:33;distributor:1,104488.16096223178
18,33,1,1727157.0,100000001102676100;100000002964966100;100000000993112100;100000002457464100;100000001477796100,"possible payout network: distributor fans out to 11 recipients; 33 nodes, 1.7M KZT inside",terminal:16;transit:3;distributor:1,686934.5412565022
19,33,0,2093760.0,100000008748408100;100000003509750100;100000002870463100;100000001130176100;100000000861294100,"possible payout network: distributor fans out to 21 recipients; 33 nodes, 2.1M KZT inside",terminal:21;transit:3;distributor:1,856773.6927573091
20,26,14,2289450.0,100000004041163100;100000008254069100;100000005382566100;100000003823811100;100000008406609100,possible collection cell: 1 consolidator(s) take money from 14 seeds; 2.3M KZT inside,coordinator:3;terminal:2;consolidator:1,1689756.089044974
21,24,0,3340669.0,100000005519998100;100000000838385100;100000003219438100;100000005932987100;100000004336312100,"loosely linked group: 24 nodes, 0 seeds, 3.3M KZT inside",terminal:4;transit:3,265808.6511739035
22,17,1,2977887.0,100000004160650100;100000004144536100;100000003603979100;100000003616818100;100000002257794100,"possible payout network: distributor fans out to 10 recipients; 17 nodes, 3.0M KZT inside",terminal:7;distributor:1,211064.6945834414
23,15,0,850450.0,100000002472632100;100000005505655100;100000002708624100;100000004445291100;100000001526235100,"loosely linked group: 15 nodes, 0 seeds, 850k KZT inside",terminal:2,53399.93180991546
24,15,0,3626010.0,100000006704530100;100000000791285100;100000003122817100;100000002691583100;100000001819396100,"loosely linked group: 15 nodes, 0 seeds, 3.6M KZT inside",terminal:5;transit:2,17199.133739408608
25,13,1,1392916.0,100000001380054100;100000000703894100;100000004463277100;100000004192865100;100000005669845100,"loosely linked group: 13 nodes, 1 seed, 1.4M KZT inside",terminal:6,526245.8333333333
26,13,0,6748650.0,100000000821507100;100000002911170100;100000008258083100;100000000673868100;100000007442518100,likely end-recipient periphery: 62% of 13 nodes only receive; 6.7M KZT inside,terminal:8,31649.489289912428
27,12,0,2022500.0,100000003718221100;100000003701161100;100000005974542100;100000002267998100;100000008474391100,"loosely linked group: 12 nodes, 0 seeds, 2.0M KZT inside",terminal:5;transit:1,1051017.260994572
28,11,0,432700.0,100000000031787100;100000001601320100;100000002842337100;100000007861311100;100000004096559100,"loosely linked group: 11 nodes, 0 seeds, 433k KZT inside",terminal:6;transit:2,349956.9941149842
29,10,0,603900.0,100000003635170100;100000008501413100;100000003321423100;100000004209339100;100000002156381100,"loosely linked group: 10 nodes, 0 seeds, 604k KZT inside",transit:2;terminal:2,97738.50797064211
30,9,0,3404688.0,100000003557488100;100000002212494100;100000001317336100;100000002175422100;100000003594472100,"loosely linked group: 9 nodes, 0 seeds, 3.4M KZT inside",terminal:2,25026.54275969516
31,7,0,143000.0,100000005911352100;100000000507799100;100000003962994100;100000005127767100;100000004508696100,"loosely linked group: 7 nodes, 0 seeds, 143k KZT inside",terminal:2,17014.760072572568
32,6,1,1615030.0,100000008736940100;100000008193577100;100000005456919100;100000000307908100;100000008751429100,"loosely linked group: 6 nodes, 1 seed, 1.6M KZT inside",terminal:1,1289150.0
33,6,1,1527967.0,100000005183943100;100000007939160100;100000007930878100;100000000955444100;100000003888271100,"loosely linked group: 6 nodes, 1 seed, 1.5M KZT inside",terminal:3,1514554.0
34,6,0,2540000.0,100000004479404100;100000004717647100;100000002922000100;100000002659103100;100000001533161100,"loosely linked group: 6 nodes, 0 seeds, 2.5M KZT inside",,6131.4620322271785
35,6,1,275885.0,100000005895525100;100000002462183100;100000007175718100;100000005056870100;100000005807278100,likely end-recipient periphery: 83% of 6 nodes only receive; 276k KZT inside,terminal:5,275885.0
